index,filename,true_class,predicted_class,feature_set,iteration
84,1888_Bondesen_KarretenFraLoenneskov,O,CANON,embeddings,0
158,1896_Jespersen_Ungdom,O,CANON,embeddings,0
0,1895_Norrie_EnLoesgaenger,O,CANON,embeddings,0
92,1899_FibigerM_AnninaHjelm,O,CANON,embeddings,1
49,1898_Gnudtzmann_Gadespejlet,O,CANON,embeddings,1
132,1895_MoellerC_EfterLevendeModel,O,CANON,embeddings,1
95,1897_MallingM_Munkeboda,O,CANON,embeddings,1
57,1896_MallingM_Eremitage-Idyllen,O,CANON,embeddings,2
114,1890_Rist_Soldater,O,CANON,embeddings,2
1,1899_HenningsenA_Glansbilledet,O,CANON,embeddings,2
93,1893_Roth_Garnisonsliv,O,CANON,embeddings,2
195,1896_Obstfelder_Korset,O,CANON,embeddings,3
203,1883_LieJ_Livsslaven,O,CANON,embeddings,3
131,1894_BruunL_SvendFelding,O,CANON,embeddings,4
206,1882_PaulsenJ_FamilienPehrsen,O,CANON,embeddings,4
98,1896_PetersenL_GadensRoman,O,CANON,embeddings,4
126,1897_Bergstroem_BrogedeBilleder,O,CANON,embeddings,4
105,1893_LieJ_Niobe,O,CANON,embeddings,4
179,1896_Norrie_UngeJunker,O,CANON,embeddings,4
201,1894_Muusmann_Bondekunstneren,O,CANON,embeddings,5
167,1896_BenzonP_DetSjetteBud,O,CANON,embeddings,5
210,1878_LieJ_ThomasRoss,O,CANON,embeddings,5
198,1886_LieJ_KommandoerensDoettre,O,CANON,embeddings,6
181,1897_NielsenZ_Mystisk,O,CANON,embeddings,6
87,1893_JoergensenJ_LivetsTrae,O,CANON,embeddings,6
64,1895_EwaldC_DenGamleStue,O,CANON,embeddings,7
145,1882_LieJ_GaaPaa,O,CANON,embeddings,7
158,1895_MoellerC_EfterLevendeModel,O,CANON,embeddings,7
76,1887_Vandel_Dobbeltgaengere,O,CANON,embeddings,8
15,1896_Norrie_UngeJunker,O,CANON,embeddings,8
40,1894_Cavling_FraDeDybeDale,O,CANON,embeddings,8
113,1894_WormMueller_FireDage,O,CANON,embeddings,9
207,1894_Lautrup_FamilienWoermer,O,CANON,embeddings,9
208,1888_Colditz_Kjaerka,O,CANON,embeddings,9
54,1879_Rovsing_EnsomtLiv,O,CANON,embeddings,9
211,1883_NielsenZ_GamleVaner,O,CANON,embeddings,9
22,1893_JoergensenJ_LivetsTrae,O,CANON,embeddings,10
160,1893_MoellerC_Navnefaettere,O,CANON,embeddings,10
35,1887_Vandel_Dobbeltgaengere,O,CANON,embeddings,10
55,1884_Paulsen_EnDigtersHustru,O,CANON,embeddings,10
81,1894_Bergstroem_Vendepunkter,O,CANON,embeddings,10
24,1886_Winterhjelm_FarvelHansen,O,CANON,embeddings,11
141,1891_Paulsen_BrosefraBergenudenlands,O,CANON,embeddings,12
176,1894_Cavling_FraDeDybeDale,O,CANON,embeddings,12
112,1892_Reiserer_FraKaserneogGeled,O,CANON,embeddings,12
153,1894_Jespersen_Kursuskammerater,O,CANON,embeddings,13
170,1897_MadsenO_LysetsBoern,O,CANON,embeddings,13
38,1894_Aagaard_UnderligeFyre,O,CANON,embeddings,13
159,1899_Roth_Provindsliv,O,CANON,embeddings,13
112,1894_ChristiansenE_Hjarl,O,CANON,embeddings,13
130,1899_Kaarsberg_TrangeStier,O,CANON,embeddings,14
151,1895_Welding_EnUngPige,O,CANON,embeddings,14
178,1896_LarsenK_DoktorIx,O,CANON,embeddings,14
33,1892_PetersenM_KuedePlanter,O,CANON,embeddings,15
208,1887_Paulsen_EnFremtidskvinde,O,CANON,embeddings,15
106,1896_MoellerI_TabteToejler,O,CANON,embeddings,15
115,1892_AndersenFO_EtHjemsDroem,O,CANON,embeddings,16
208,1897_Bergstroem_BrogedeBilleder,O,CANON,embeddings,16
156,1898_Broendsted_Borretaarn,O,CANON,embeddings,17
63,1886_Gloeersen_Dagligdags,O,CANON,embeddings,17
111,1890_HansenJ_Skuespillere,O,CANON,embeddings,17
